id,title,director,year,country,image,synopsis
406,HIDE AND SEEK,Su Friedrich , 1996,Etats-Unis,https://images.mubicdn.net/images/film/29768/cache-20786-1623341136/image-w1280.jpg?size=400x,Mixes documentary interviews of memories of lesbian adolescence with the story of the 12-year-old girl Lou discovering her sexuality in 1960s America.
407,BUTTERFLY KISS,Michael Winterbottom , 1995,Royaume-Uni,https://images.mubicdn.net/images/film/13700/cache-12146-1481136295/image-w1280.jpg?size=400x,"Eunice is walking along the highways of northern England from one filling station to another. She is searching for Judith, the woman, she says to be in love with."
408,LATE BLOOMERS,Julia Dyer , 1996,Etats-Unis,https://images.mubicdn.net/images/film/140604/cache-476318-1570428903/image-w1280.jpg?size=400x,"High School basketball coach, Dinah Groshardt, falls for the school secretary, Carly Lumpkin, and upsets the entire school in the process."
409,LE PRIX A PAYER,F. Gary Gray , 1996,Etats-Unis,https://images.mubicdn.net/images/film/31007/cache-34266-1591103912/image-w1280.jpg?size=400x,All have suffered that what they did was wrong and one loses all her friends that passed on the money they have stolen.
410,EDIE & THEA: A VERY LONG ENGAGEMENT,"Greta Olafsdottir, Susan Muska ", 2009,Etats-Unis,https://images.mubicdn.net/images/film/98293/cache-63004-1445926877/image-w1280.jpg?size=400x,"After 42 years, feisty and delightful lesbian couple Edie and Thea are finally getting married."
411,FEMALE PERVERSIONS,Susan Streitfeld , 1996,Allemagne,https://images.mubicdn.net/images/film/24025/cache-15960-1630515669/image-w1280.jpg?size=400x,"Female Perversions concerns Eve (Tilda Swinton), a dynamic powerhouse of a district attorney, fresh from an impressive courtroom victory over a sleazy businessman and on the verge of her greatest triumph, a governor's appointment as a judge."
412,LISTENING FOR SOMETHING... ADRIENNE RICH AND DIONNE BRAND IN CONVERSATION,Dionne Brand , 1996,Canada,https://images.mubicdn.net/images/film/288186/cache-620834-1608339696/image-w1280.jpg?size=400x,In this film through conversation and poetry two poets meet for the telling and the listening.
413,LOVE AND OTHER CATASTROPHES,Emma-Kate Croghan , 1996,Australie,https://images.mubicdn.net/images/film/87872/cache-43810-1661765044/image-w1280.jpg?size=400x,A day in the life of two film-school students trying to find love and another house-mate.
414,ANTONIA ET SES FILLES,Marleen Gorris , 1995,Pays-Bas,https://images.mubicdn.net/images/film/13946/cache-766695-1647786124/image-w1280.jpg?size=400x,"In an anonymous Dutch village, a sturdy, strong-willed matriarch looks back upon her life, the generations of family and friends gathered around her table, and ponders the cyclical nature of time."
415,MURIEL FAIT LE DESESPOIR DE SES PARENTS,Philippe Faucon , 1995,France,https://images.mubicdn.net/images/film/45069/cache-36342-1562857324/image-w1280.jpg?size=400x,"Muriel, discrete et solitaire, tombe amoureuse de Nora, une jeune femme exuberante et rayonnante. Elle decide de se confier a sa mere, qui supporte mal cette realite. Alors que Nora semble encore hesitante sur la nature de ses sentiments, elles decident d'aller passer quelques jours a la mer..."
416,QUAND TOMBE LA NUIT,Patricia Rozema , 1995,Canada,https://images.mubicdn.net/images/film/22804/cache-15008-1585735274/image-w1280.jpg?size=400x,"Camille travaille comme professeur de mythologie dans un college protestant ultra-conservateur. Elle sort depuis trois ans avec Martin, un theologien, mais le seul veritable amour de sa vie n'est autre que son chien Bob."
417,GAZON MAUDIT,Josiane Balasko , 1995,France,https://images.mubicdn.net/images/film/15380/cache-12429-1498644302/image-w1280.jpg?size=400x,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them."
418,CELLULOID CLOSET,"Rob Epstein, Jeffrey Friedman ", 1995,Allemagne,https://images.mubicdn.net/images/film/15624/cache-91821-1531125455/image-w1280.jpg?size=400x,"L'homosexualite vue a travers cent ans de cinema hollywoodien. Pour les auteurs ""The Celluloid Closet"" montre comment notre attitude envers l'homosexualite et notre perception des roles des deux sexes ont evolue au cours de ce siecle."
419,THE BODY OF A POET: A TRIBUTE TO AUDRE LORDE,Sonali Fernando , 1995,Royaume-Uni,https://images.mubicdn.net/images/film/237744/cache-442953-1559993357/image-w1280.jpg?size=400x,"An expressive imaginary biography of Audre Lorde- African American, lesbian, feminist, professor, mother, visionary and 'warrior poet' - who died of breast cancer, metastasised to her liver, in 1992."
420,HIGHER LEARNING,John Singleton , 1995,Etats-Unis,https://images.mubicdn.net/images/film/11689/cache-11873-1481134891/image-w1280.jpg?size=400x,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus."
421,CREATURES CELESTES,Peter Jackson , 1994,Nouvelle-Zelande,https://images.mubicdn.net/images/film/424/cache-847236-1673627552/image-w1280.jpg?size=400x,"L'amitie irrepressible et passionnee de deux jeunes filles, que rien ne pourra alterer. Pas meme leur entourage, inquiet de leur relation qui les coupe du monde..."
422,GO FISH,Rose Troche , 1994,Etats-Unis,https://images.mubicdn.net/images/film/23122/cache-15229-1716541238/image-w1280.jpg?size=400x,"Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in common. Can Max learn to look past the packaging?"
423,BAR GIRLS,Marita Giovanni , 1994,Etats-Unis,https://images.mubicdn.net/images/film/51766/cache-130321-1456426070/image-w1280.jpg?size=400x,"Stood up yet again at Los Angeles' Girl Bar by her gorgeous but flaky girlfriend, successful TV cartoon writer Loretta fears she may never find her soul mate. But then in walks Rachael, an aspiring actress who more than catches Loretta's eye."
424,GIRLFRIENDS,"Mark Steven Bosko, Wayne Alan Harold ", 1993,Etats-Unis,No image available,"A lesbian couple support themselves by picking up guys with money and blowing them away. They yearn for a more normal life, so they vow to get out of the murder/theft business and live off welfare money and turning tricks."
425,RULES OF THE ROAD,Su Friedrich , 1993,Etats-Unis,https://images.mubicdn.net/images/film/29128/cache-29463-1445887838/image-w1280.jpg?size=400x,Sensitive and entertaining story about a relationship told through the vehicle the couple shared for many years.
426,"THE LESBIAN AVENGERS EAT FIRE, TOO","Su Friedrich, Janet Baus ", 1993,Etats-Unis,https://images.mubicdn.net/images/film/190325/cache-289325-1512968972/image-w1280.jpg?size=400x,"This film documents the first year of actions by The Lesbian Avengers, a group of bold and brazen New York City activists fighting for recognition and equal rights for lesbians everywhere. We recruit!"
427,DESPERATE REMEDIES,"Peter Wells, Stewart Main ", 1993,Nouvelle-Zelande,https://images.mubicdn.net/images/film/95237/cache-56577-1445921834/image-w1280.jpg?size=400x,"Set in the mythical seaport of Hope sometime during the 19th century, a beautiful merchant hires a handsome but penniless immigrant to seduce her opium-addicted sister away from her sinister paramour."
428,CHICKS IN WHITE SATIN,Elaine Holliman , 1993,Etats-Unis,https://images.mubicdn.net/images/film/166985/cache-403507-1547273870/image-w1280.jpg?size=400x,A 1994 English language documentary directed by Elaine Holliman. It has been nominated for 1 award.
429,EVEN COWGIRLS GET THE BLUES,Gus Van Sant , 1993,Etats-Unis,https://images.mubicdn.net/images/film/15295/cache-113445-1674172910/image-w1280.jpg?size=400x,"Gus Van Sant's film adaptation of Tom Robbins' cult novel, first published in 1976, recounting the misadventures of a beautiful young woman, Sissy Hankshaw (Uma Thurman), whose over-sized thumbs establish her as a very formidable hitchhiker."
430,IN THE BEST INTEREST OF THE CHILDREN,Michael Ray Rhodes , 1992,Etats-Unis,https://images.mubicdn.net/images/film/128707/cache-314344-1519115562/image-w1280.jpg?size=400x,Fact-based story of a legal battle fought over custody of five siblings.
431,FORBIDDEN LOVE: THE UNASHAMED STORIES OF LESBIAN LIVES,"Aerlyn Weissman, Lynne Fernie ", 1992,Canada,https://images.mubicdn.net/images/film/26092/cache-17641-1445871656/image-w1280.jpg?size=400x,"This Canadian documentary chronicles the heyday of Lesbian-oriented pulp romantic fiction in the 1950s, an era when titles such as ""Odd Girl Out"" spoke volumes to the isolated and confused young lesbians of the era."
432,NITRATE KISSES,Barbara Hammer , 1992,Etats-Unis,https://images.mubicdn.net/images/film/24636/cache-16445-1445870134/image-w1280.jpg?size=400x,"Essay documentary explores eroded emulsions and images for lost vestiges of lesbian and gay culture. First feature by a pioneer of lesbian cinema, Hammer weaves gay and lesbian couples with footage that unearths the forbidden and invisible history of a marginalized people."
433,CLAIRE OF THE MOON,Nicole Conn , 1992,Etats-Unis,https://images.mubicdn.net/images/film/27962/cache-19208-1445873652/image-w1280.jpg?size=400x,Female authors gather at a small northern coastal retreat to work on their writing skills. A first-time guest who lives for the moment finds herself struggling with her sexuality after discovering her roommate is a lesbian.
434,SALMONBERRIES,Percy Adlon , 1991,Allemagne,https://images.mubicdn.net/images/film/37382/cache-27338-1655773247/image-w1280.jpg?size=400x,A woman who grew up in a small town in Alaska goes to the public library to try and find out who her parents were...
435,VANILLA SEX,Cheryl Dunye , 1992,Etats-Unis,https://images.mubicdn.net/images/film/195064/cache-304667-1546655712/image-w1280.jpg?size=400x,A short exploring what the term 'Vanilla Sex' means in black and queer communities through polaroid photographs.
436,BEIGNETS DE TOMATES VERTES,Jon Avnet , 1991,Etats-Unis,https://images.mubicdn.net/images/film/6204/cache-91047-1481695205/image-w1280.jpg?size=400x,"Une femme au foyer decue par la vie se prend d'affection pour une vieille dame dans une maison de soins infirmiers. Au fil de ses visites, elle l'ecoute avec enthousiasme raconter les differentes anecdotes de sa jeunesse et lui parler des gens qu'elle a connus dans sa vie."
437,THE TWIN BRACELETS,Huang Yu-shan , 1991,Hong Kong,https://images.mubicdn.net/images/film/183166/cache-264851-1546657162/image-w1280.jpg?size=400x,A Chinese woman (Chen Te Jung) plots murder and suicide when her female companion (Hsiao-hui Liu) is pushed into an arranged marriage.
438,A PLACE OF RAGE,Pratibha Parmar , 1991,Royaume-Uni,https://images.mubicdn.net/images/film/131964/cache-116721-1445968626/image-w1280.jpg?size=400x,"This exuberant celebration of African American women and their achievements features interviews with Angela Davis, June Jordan and Alice Walker."
439,THELMA & LOUISE,Ridley Scott , 1991,Etats-Unis,https://images.mubicdn.net/images/film/17147/cache-12684-1668178736/image-w1280.jpg?size=400x,"Thelma, une femme au foyer modeste, rejoint son amie Louise, une serveuse independante, pour une petite partie de peche. Cependant, leur voyage se transforme en une cavale lorsque Louise abat un homme qui tente de violer Thelma dans un bar. Louise s'enfuit au Mexique, et Thelma decide de la suivre."
440,FIRST COMES LOVE,Su Friedrich , 1991,Etats-Unis,https://images.mubicdn.net/images/film/39544/cache-29462-1445887837/image-w1280.jpg?size=400x,First Comes Love consists of perfectly choreographed scenes of four wedding ceremonies accompanied by a complex medley of popular love songs.
441,MY OWN PRIVATE IDAHO,Gus Van Sant , 1991,Etats-Unis,https://images.mubicdn.net/images/film/249/cache-8041-1623058185/image-w1280.jpg?size=400x,"Mike et Scott vivent parmi les marginaux de Portland, partageant leur solitude, les drogues et les hommes ou femmes a qui ils se vendent. Mike est introverti, homo et souffre de crises de narcolepsie. Enfant abandonne, il est obsede par l'idee de retrouver sa mere."
442,SHE DON'T FADE,Cheryl Dunye , 1991,Etats-Unis,https://images.mubicdn.net/images/film/195063/cache-304577-1516839607/image-w1280.jpg?size=400x,"Chronicles the sexual pursuits of Shae Clarke, an African American lesbian."
443,KHUSH,Pratibha Parmar , 1991,Royaume-Uni,https://images.mubicdn.net/images/film/225577/cache-401471-1546659106/image-w1280.jpg?size=400x,"KHUSH means ecstatic pleasure in Urdu. For South Asian lesbians and gay men in Britain, North America, and India (where homosexuality was recently legalised (2018) ) the term captures the blissful intricacies of being queer and of color."
444,ORANGES ARE NOT THE ONLY FRUIT,Beeban Kidron , 1990,Royaume-Uni,https://images.mubicdn.net/images/film/193886/cache-300034-1572600301/image-w1280.jpg?size=400x,Teenaged Jess is dominated by her religious fanatic mother as she grows up in Lancashire during the 1960's. But this doesn't stop her from beginning to explore her own sexuality.
445,SINK OR SWIM,Su Friedrich , 1990,Etats-Unis,https://images.mubicdn.net/images/film/22468/cache-14738-1578502835/image-w1280.jpg?size=400x,"A contemporary classic and a landmark in autobiographical filmmaking, SINK OR SWIM is an unflinching account of the highly charged relationship between a daughter and her father."
446,THANK YOU AND GOOD NIGHT,Jan Oxenberg , 1990,Etats-Unis,https://images.mubicdn.net/images/film/192270/cache-590291-1600963216/image-w1280.jpg?size=400x,Director Jan Oxenberg's personal documentary about aging and death and how it effects her family.
447,PRIVILEGE,Yvonne Rainer , 1990,Etats-Unis,https://images.mubicdn.net/images/film/100801/cache-65910-1445929302/image-w1280.jpg?size=400x,"Yvonne Rainer's sixth feature is a genuinely subversive movie about menopause. Out of a subject that has been virtually invisible on film, Rainer has fashioned a witty, risky work about sexual identity and the unequal economies of race, gender and class."
448,PORTRAIT OF A MARRIAGE,Stephen Whittaker , 1990,Nouvelle-Zelande,https://images.mubicdn.net/images/film/257685/cache-514616-1582067516/image-w1280.jpg?size=400x,Melodrama detailing the real-life love affair between feminist writer Vita Sackville-West and novelist Violet Keppel against the backdrop of post-World War I England and opposition by Vita's politician husband Harold Nicolson.
449,TINY AND RUBY: HELL DIVIN' WOMEN,Greta Schiller , 1988,Etats-Unis,https://images.mubicdn.net/images/film/239491/cache-449855-1562238015/image-w1280.jpg?size=400x,"Profiling legendary jazz trumpeter Tiny Davis and her partner of over 40 years, drummer-pianist Ruby Lucas, Tiny & Ruby: Hell Divin' Women weaves together rare jazz recordings, live performances, vintage photographs, and narrative poetry by Cheryl Clarke."
450,CHOPPER CHICKS IN ZOMBIETOWN,Dan Hoskins , 1989,Etats-Unis,https://images.mubicdn.net/images/film/55521/cache-45029-1445910577/image-w1280.jpg?size=400x,"George Romero, move over! It's a distaff version of Day of the Dead when a gang of chick motorbikers become the only thing that stands between a crowd of homicidal zombies and a fast-dwindling band of townspeople fighting to stay alive."
451,JOHANNA D'ARC OF MONGOLIA,Ulrike Ottinger , 1989,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/28128/cache-19348-1548437322/image-w1280.jpg?size=400x,The city comes closer. The bright and shiny white felt yurts with collar-shaped chimney openings are on wagons pulled by twenty-two oxen each in two rows of eleven oxen. The broad front of the city advances ever nearer.
452,VIRGIN MACHINE,Monika Treut , 1988,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/25164/cache-16875-1518619512/image-w1280.jpg?size=400x,"A German woman travels to San Francisco to find her mother, but winds up distracted by the sexually flamboyant culture of the city."
453,LE JUPON ROUGE,Genevieve Lefebvre , 1987,France,https://images.mubicdn.net/images/film/41562/cache-36510-1548502044/image-w1280.jpg?size=400x,Shifting attractions are played out between three women of different ages in this French twist to the typical lesbian drama.
454,THE ICE PALACE,Per Blom , 1987,Norvege,https://images.mubicdn.net/images/film/34696/cache-92515-1643629805/image-w1280.jpg?size=400x,"A couple of twelve-year-old Norwegian girls struggle with their intense, taboo relationship during the 1930s."
455,LE CHANT DES SIRENES,Patricia Rozema , 1987,Canada,https://images.mubicdn.net/images/film/22807/cache-105930-1647943419/image-w1280.jpg?size=400x,"Polly, secretaire interimaire, est fascinee par sa nouvelle patronne, Gabrielle, directrice d'une galerie d'art de Toronto. Tres naive, Polly se trouve souvent confrontee a des comportements intellectuels qui la depassent au sein de la sphere artistique."
456,DAMNED IF YOU DON'T,Su Friedrich , 1987,Etats-Unis,https://images.mubicdn.net/images/film/29070/cache-20154-1524131800/image-w1280.jpg?size=400x,"Beautifully shot in black and white, it blends conventional narrative technique with impressionistic camerawork, symbols and voiceovers to create an intimate study of sexual expression and repression."
457,ANNE TRISTER,Lea Pool , 1986,Canada,https://images.mubicdn.net/images/film/46367/cache-36971-1445899713/image-w1280.jpg?size=400x,"A Swiss Jewish artist who is grieving her father, moves to Montreal and forms a friendship with a child psychiatrist. While creating an installation in an abandoned warehouse, she confronts her past and is increasingly drawn to her friend."
458,NOLA DARLING N'EN FAIT QU'A SA TETE,Spike Lee , 1986,Etats-Unis,https://images.mubicdn.net/images/film/8761/cache-32420-1548046665/image-w1280.jpg?size=400x,"When it comes to love, Nola Darling has got a problem: she's just gotta have ""it."" And she's having a hard time deciding who'll give ""it"" the best, choosing between a romantic-but-possessive nice guy,  a flashy-but-vain fashion model, and a fast-riding but faster-talking bicyclist..."
459,SEDUCTION: THE CRUEL WOMAN,"Monika Treut, Elfi Mikesch ", 1985,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/22899/cache-15077-1518620761/image-w1280.jpg?size=400x,"A Film by Elfi Mikesch & Monika Treut. Wanda, a dominatrix who runs an S&M gallery on the Hamburg waterfront, must choose between her lesbian lover and an American trainee."
460,NOVEMBER MOON,Alexandra von Grote , 1985,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/50380/cache-134193-1461653217/image-w1280.jpg?size=400x,"To escape the escalating Nazi threat in her native Germany, young Jew November Messing finds sanctuary and love with a daring mademoiselle."
461,LA COULEUR POURPRE,Steven Spielberg , 1985,Etats-Unis,https://images.mubicdn.net/images/film/14939/cache-12367-1481137575/image-w1280.jpg?size=400x,"C'est l'histoire de Celie, une jeune femme noire au debut du 20eme siecle, d'abord violee par son pere puis mariee a ""Mister"", un fermier brutal et machiste. Au long de sa vie, elle va finir par se familiariser avec le feminisme et s'affirmer face a ""Mister""."
462,BEYOND THE WALLS,Miguel Picazo , 1985,Espagne,https://images.mubicdn.net/images/film/101062/cache-66443-1445929740/image-w1280.jpg?size=400x,Adaptation of the novel of the same name about lesbian love between two nuns in a 16th century Spanish convent.
463,THE TIES THAT BIND,Su Friedrich , 1985,Etats-Unis,https://images.mubicdn.net/images/film/29171/cache-20245-1445874967/image-w1280.jpg?size=400x,This educational film features one woman's recollections of growing up in Nazi Germany. This was filmed by her daughter.
464,DESERT HEARTS,Donna Deitch , 1985,Etats-Unis,https://images.mubicdn.net/images/film/23592/cache-15615-1594882732/image-w1280.jpg?size=400x,"While waiting for her divorce papers, a repressed professor of literature is unexpectedly seduced by a carefree, spirited young lesbian."
465,LA REINE CHRISTINE,Rouben Mamoulian , 1933,Etats-Unis,https://images.mubicdn.net/images/film/20021/cache-91741-1675368048/image-w1280.jpg?size=400x,"Queen Christina of Sweden is a dominant European ruler in the 17th century, and has never thought of romance. However, she accidentally and secretly falls in love with an emissary from Spain, even though a marriage between the two seems out of the question."
466,LA PIRATE,Jacques Doillon , 1984,France,https://images.mubicdn.net/images/film/37875/cache-27710-1640860067/image-w1280.jpg?size=400x,"Story of the tangled emotional relationships between five people, which results in argument and violence."
467,LIANNA,John Sayles , 1983,Etats-Unis,https://images.mubicdn.net/images/film/6853/cache-11189-1547872472/image-w1280.jpg?size=400x,"Lianna is the young wife of a professor. When she becomes angry with her husband for his unabashed infidelities, Lianna has an affair with a woman named Ruth. Once the affair becomes public, Lianna is ostracized by her friends and family."
468,RAZIA SULTAN,Kamal Amrohi , 1983,Inde,https://images.mubicdn.net/images/film/115612/cache-587236-1600174815/image-w1280.jpg?size=400x,"The film is based on the life of Razia Sultan (1205-1240), the only female Sultan of Delhi (1236-1240) and her speculated love affair with the Abyssinian slave, Jamal-ud-Din Yakut. -- wikipedia.org."
469,COUP DE FOUDRE,Diane Kurys , 1983,France,https://images.mubicdn.net/images/film/20172/cache-13120-1678122145/image-w1280.jpg?size=400x,"L'histoire decrit la rencontre puis l'amitie entre deux femmes que tout oppose, l'une artiste tourmentee, l'autre petite bourgeoise conformiste aux reves imprecis, au lendemain d'une Seconde Guerre mondiale lourde de drames intimes pour les deux femmes, amitie qui fera exploser le couple de chacune."
470,UN AUTRE REGARD,"Karoly Makk, Janos Xantus ", 1982,Hongrie,https://images.mubicdn.net/images/film/33680/cache-25146-1574805619/image-w1280.jpg?size=400x,"Political and sexual repression in Hungary, just after the revolution of 1956. In 1958, the body of Eva Szalanczky, a political journalist, is discovered near the border. Her friend Livia is in hospital with a broken neck; Livia's husband, Donci, is under arrest."
471,BUT NO ONE,Su Friedrich , 1982,Etats-Unis,https://images.mubicdn.net/images/film/87447/cache-39946-1445903967/image-w1280.jpg?size=400x,"A dream that was ""left over"" from Gently Down the Stream. Like many dreams, it transformed the familiar world into something more disturbing, contradictory and amoral."
472,GENTLY DOWN THE STREAM,Su Friedrich , 1981,Etats-Unis,https://images.mubicdn.net/images/film/22089/cache-39947-1445903970/image-w1280.jpg?size=400x,Gently Down the Stream is constructed from fourteen dreams taken from eight years' worth of my journals. The text is scratched directly on to the film so that you hear your own voice as you read.
473,AFTERNOON BREEZES,Hitoshi Yazaki , 1980,Japon,https://images.mubicdn.net/images/film/103408/cache-85918-1636643155/image-w1280.jpg?size=400x,"An early lesbian-themed Japanese film, and indie legend Hitoshi Yazaki's feature debut."
474,"PEPI, LUCI, BOM ET LES AUTRES FILLES DU QUARTIER",Pedro Almodovar , 1980,Espagne,https://images.mubicdn.net/images/film/5138/cache-40896-1445905283/image-w1280.jpg?size=400x,"Pepi qui cultive de la marijuanna dans des pots sur son balcon est decouverte par un flic qui la fait chanter, la viole et la deflore. Pour se venger Pepi decide de seduire Luci, la femme du policier, femme au foyer devouee et soumise."
475,GARCONNE,Dennis Hopper , 1980,Canada,https://images.mubicdn.net/images/film/3540/cache-10202-1635278450/image-w1280.jpg?size=400x,"Cebe is a teenage rebel obsessed with Elvis. Her father is in prison after drunkenly smashing his rig into a school bus, and her mother is a junkie waitress. With Don's release, the family struggles to reconnect and the trauma of the past looms large as dark secrets slowly begin to emerge."
476,SCAR TISSUE,Su Friedrich , 1979,Etats-Unis,https://images.mubicdn.net/images/film/35188/cache-25111-1445881673/image-w1280.jpg?size=400x,"Simple but intriguing essay on the contrasts and details of the body's social behavior, made from ephemeral fragments of image."
477,MANHATTAN,Woody Allen , 1979,Etats-Unis,https://images.mubicdn.net/images/film/489/cache-50882-1445920298/image-w1280.jpg?size=400x,"Les angoisses et hesitations sentimentales d'un intellectuel new-yorkais. Apres Annie Hall pour lequel il a recu un Oscar, Woody Allen continue a explorer ses obsessions romantiques a travers Manhattan."
478,A WOMAN LIKE EVE,Nouchka van Brakel , 1979,Pays-Bas,https://images.mubicdn.net/images/film/125687/cache-108931-1641382625/image-w1280.jpg?size=400x,"Eva, a young mother of two, is sent on holiday to the South of France by her husband to relieve her stress. There she meets free-spirited feminist and lesbian Liliane who lives in a commune. Eva feels strangely drawn to Liliane."
479,"COOL HANDS, WARM HEART",Su Friedrich , 1979,Etats-Unis,https://images.mubicdn.net/images/film/46395/cache-37001-1445899750/image-w1280.jpg?size=400x,"The film begins with a series of events on a crowded outdoor market street. Women on stages perform ""private"" rituals: shaving legs and armpits..."
480,DOUBLE STRENGTH,Barbara Hammer , 1978,Etats-Unis,https://images.mubicdn.net/images/film/24831/cache-16607-1445870321/image-w1280.jpg?size=400x,"Barbara Hammer interviews a lesbian couple, both gymnasts and performance artists and photographs them doing their routines in the nude."
481,MADAME X: AN ABSOLUTE RULER,Ulrike Ottinger , 1978,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/39683/cache-29611-1548436462/image-w1280.jpg?size=400x,"On the women's ship Orlando the flags of attack, leather, weapons, lesbian love and death are raised with a beauty which dispenses with a total domination of the viewer's gaze. The aesthetic is strictly stylized, exhibiting itself without overwhelming us."
482,A QUESTION OF LOVE,Jerry Thorpe , 1978,Etats-Unis,https://images.mubicdn.net/images/film/134817/cache-122282-1447284245/image-w1280.jpg?size=400x,"A housewife (Rowlands) fights to keep custody of her child after her husband, who has moved out, learns she is having a sexual relationship with another woman now residing in the household where the child is still cared for. *Made for television."
483,LES RENDEZ-VOUS D'ANNA,Chantal Akerman , 1978,France,https://images.mubicdn.net/images/film/20204/cache-91635-1705420939/image-w1280.jpg?size=400x,"In one of Akerman's most penetrating character studies, Anna, an accomplished filmmaker, makes her way through a series of European cities to promote her latest movie. Via a succession of eerie, exquisitely shot, brief encounters, we come to see her emotional and physical detachment from the world."
484,BILITIS,David Hamilton , 1977,France,https://images.mubicdn.net/images/film/28617/cache-19767-1717407512/image-w1280.jpg?size=400x,"Bilitis est eleve dans un internat. Peu avant les vacances d'ete, qu'elle passe chez son amie Melissa, qui est mariee, elle est tombee amoureuse d'un photographe."
485,MULTIPLE ORGASM,Barbara Hammer , 1976,Etats-Unis,https://images.mubicdn.net/images/film/24832/cache-16608-1445870322/image-w1280.jpg?size=400x,A hand plays with a vagina as the same scene drifts over a sea of erotic rock formations.
486,WOMEN I LOVE,Barbara Hammer , 1976,Etats-Unis,https://images.mubicdn.net/images/film/29180/cache-20254-1445874978/image-w1280.jpg?size=400x,A series of cameo portraits of the filmmaker's friends and lovers intercut with a playful celebration of fruits and vegetables pixilated in nature. Culminating footage evokes a tantric painting of sexuality sustained.
487,A COMEDY IN SIX UNNATURAL ACTS,Jan Oxenberg , 1975,Etats-Unis,https://images.mubicdn.net/images/film/280234/cache-592318-1601488843/image-w1280.jpg?size=400x,"In this witty Hollywood send-up, Jan Oxenberg satirizes a variety of film genres and the ways in which they perpetuate lesbian stereotypes."
488,JE TU IL ELLE,Chantal Akerman , 1974,Belgique,https://images.mubicdn.net/images/film/20962/cache-130578-1694521856/image-w1280.jpg?size=400x,"In her sexually provocative first feature, Chantal Akerman stars as a nameless, rootless young woman who leaves self-imposed isolation to embark on a road trip that leads to lonely love affairs."
489,HOME MOVIE,Jan Oxenberg , 1973,Etats-Unis,https://images.mubicdn.net/images/film/280233/cache-592317-1601488818/image-w1280.jpg?size=400x,"Using her family's home movies and her talent for parody, Jan Oxenberg gives herself a cheerful lesbian childhood."
490,DYKETACTICS,Barbara Hammer , 1974,Etats-Unis,https://images.mubicdn.net/images/film/22470/cache-92418-1516055524/image-w1280.jpg?size=400x,"Le premier film d'ebats amoureux lesbiens realise par une lesbienne, Dyketactics revele le sens esthetique de Hammer reliant la vue et le toucher. Une << publicite lesbienne >> sensorielle en 110 images et 4 minutes."
491,LES LARMES AMERES DE PETRA VON KANT,Rainer Werner Fassbinder , 1972,Allemagne de l'Ouest,https://images.mubicdn.net/images/film/1409/cache-50195-1546239612/image-w1280.jpg?size=400x,"Styliste de mode reputee arrogante, cinglante et contente d'elle, Petra von Kant est dans une relation SM plutot satisfaisante avec Marlene, son assistante. Mais lorsqu'elle developpe une obsession pour Karin, une mannequin, les choses se compliquent et l'amour vient alors s'entremeler a la haine."
492,CLEOPATRA JONES AND THE CASINO OF GOLD,Charles Bail , 1975,Etats-Unis,https://images.mubicdn.net/images/film/131423/cache-115948-1666375255/image-w1280.jpg?size=400x,"When fellow operatives and friends disappear during a mission in Hong Kong, Cleopatra Jones comes to help. She discovers the disappearance involves The Dragon Lady, a feared lipstick lesbian who runs a casino and the local drug trade."
493,LES LEVRES ROUGES,Harry Kumel , 1971,Belgique,https://images.mubicdn.net/images/film/13776/cache-44908-1706857242/image-w1280.jpg?size=400x,"On their way to England, newlyweds rest at a posh French hotel. They find a stunning red-lipped woman who, despite her age, the hotel owner swears was there 40 years ago. When she introduces herself as Countess of Bathory, everyone is taken aback."
494,VAMPYROS LESBOS,Jesus Franco , 1971,Espagne,https://images.mubicdn.net/images/film/22589/cache-14842-1565974869/image-w1280.jpg?size=400x,"Linda is a young American lawyer, working in a law office in Istanbul. During the night, she has passionate dreams in which a sexy brunette harasses, and makes love to her, from which she's unable to defend herself."
495,"AI NU, ESCLAVE DE L'AMOUR",Chor Yuen , 1972,Hong Kong,https://images.mubicdn.net/images/film/75136/cache-40333-1699459535/image-w1280.jpg?size=400x,No synopsis available
496,LE VENIN DE LA PEUR,Lucio Fulci , 1971,Espagne,https://images.mubicdn.net/images/film/26765/cache-130461-1594027126/image-w1280.jpg?size=400x,"Les reves d'une jeune femme de la haute bourgeoisie sont peuples de fantasmes sado-erotiques, tandis que sa voisine organise des orgies. Elles sont bientot accusees d'assassinat."
497,BERLIN AFFAIR,David Lowell Rich , 1970,Etats-Unis,https://images.mubicdn.net/images/film/208975/cache-348806-1529617419/image-w1280.jpg?size=400x,Spy suspense drama set in 1960's Berlin. Intrigue and double-cross lead Killian on a twisting path through love and loss.
