id,title,director,year,country,image,synopsis
72,THE OWL HOUSE,Stephen Sandoval & 6 de plus, 2020,Etats-Unis,https://images.mubicdn.net/images/film/264970/cache-543564-1589220015/image-w1280.jpg?size=400x,A teenager finds herself stuck in the Demon Realm and battles the forces of evil alongside a rebellious witch and a pint-sized warrior.
73,HIGHTOWN,Rachel Morrison & 2 de plus, 2020,Etats-Unis,https://images.mubicdn.net/images/film/263021/cache-535333-1587202038/image-w1280.jpg?size=400x,A federal Fishery Service Agent finds herself at the center of Cape Cod's gruesome heroin epidemic after discovering a body in the bay.
74,I AM NOT OKAY WITH THIS,Jonathan Entwistle , 2020,Etats-Unis,https://images.mubicdn.net/images/film/256975/cache-511952-1581323623/image-w1280.jpg?size=400x,"Sydney is a teenage girl navigating the trials and tribulations of high school while dealing with the complexities of her family, her budding sexuality, and mysterious superpowers just beginning to awaken deep within her."
75,TWENTIES,Tiffany Johnson & 2 de plus, 2020,Etats-Unis,https://images.mubicdn.net/images/film/261894/cache-530276-1585872673/image-w1280.jpg?size=400x,"Hattie, a queer African American woman, hangs out with her two straight best friends, as they all try to make their dreams come true."
76,FEEL GOOD,Ally Pankiw , 2020,Royaume-Uni,https://images.mubicdn.net/images/film/258198/cache-516350-1585241498/image-w1280.jpg?size=400x,"The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviors and intense romanticism that permeate every facet of her life."
77,SELF MADE: INSPIRED BY THE LIFE OF MADAM C.J. WALKER,"Kasi Lemmons, DeMane Davis ", 2020,Etats-Unis,https://images.mubicdn.net/images/film/258387/cache-516838-1582673330/image-w1280.jpg?size=400x,The inspiring story of trailblazing African American entrepreneur Madam C.J. Walker who built a haircare empire that made her America's first female self-made millionaire.
78,DELILAH,James Griffiths , 2020,Etats-Unis,https://images.mubicdn.net/images/film/293397/cache-641444-1612429066/image-w1280.jpg?size=400x,"After a life-changing event, Delilah's first step toward putting her life back together is to introduce herself to a complete stranger who may or may not be her real father."
79,NIMBY: NOT IN MY BACKYARD,Teemu Nikki , 2020,Finlande,https://images.mubicdn.net/images/film/279609/cache-590051-1603290109/image-w1280.jpg?size=400x,Mervi is a lesbian living with Kata in Helsinki who are considering coming out of closet. They soon realize that they are not the only ones with secrets.
80,THROUGH THE GLASS DARKLY,Lauren Fash , 2020,Etats-Unis,https://images.mubicdn.net/images/film/275509/cache-574866-1596876726/image-w1280.jpg?size=400x,"A year after Charlie's daughter disappears, another girl from Elrod, Georgia goes missing. Convinced there is a connection, Charlie draws suspicion and contempt from local law enforcement and townspeople as she stops at nothing to expose its most devastating and darkest secret."
81,EMILIA,Cesar Sodero , 2020,Argentine,https://images.mubicdn.net/images/film/253150/cache-500067-1577778199/image-w1280.jpg?size=400x,"After breaking up with her girlfriend, Emilia returns from the city to her village in Patagonia. The calm, unchanging nature of the impressive landscape contrasts with her restless inner life, and the people from her past elicit old emotions and new insights, some of which are not so uplifting."
